127.0.0.1 - - [02/Nov/2016:11:36:40 +0800] "GET / HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:36:57 +0800] "GET /statics/images/m_jingzhi.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:36:57 +0800] "GET /statics/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:36:57 +0800] "GET /statics/js/cookieHelper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:36:57 +0800] "GET /login HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:36:57 +0800] "GET /statics/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:36:57 +0800] "GET /statics/images/m_jingzhi.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:36:57 +0800] "GET /statics/images/mzh_dljm_1_8_5.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:36:57 +0800] "GET /statics/images/mzh_dljm_7_8_5.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:36:57 +0800] "GET /statics/images/mzh_dljm_6_8_5.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:37:20 +0800] "GET /login/loginAjax?userno=1&pwd=s HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:37:51 +0800] "POST /userlogin HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:37:55 +0800] "POST /userlogin HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:38:10 +0800] "POST /login/loginAjax HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:38:14 +0800] "POST /login/loginAjax HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:38:18 +0800] "POST /login/loginAjax HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [02/Nov/2016:11:39:40 +0800] "POST /search/search HTTP/1.1" 404 992
